t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
20.125,0.000,,,,,
20.141,0.000,,,,,
20.188,0.000,,,,,
20.188,0.000,,,,,
20.235,0.000,,,,,
20.250,0.000,,,,,
20.297,0.000,,,,,
20.297,0.000,,,,,
20.344,0.000,,,,,
20.406,0.000,,,,,
20.453,0.000,,,,,
20.500,0.000,,,,,
20.516,0.000,,,,,
20.563,0.000,,,,,
20.610,0.000,,,,,
20.610,0.000,,,,,
20.656,0.000,,,,,
20.672,0.000,,,,,
20.719,0.000,,,,,
20.766,0.000,,,,,
20.766,0.000,,,,,
20.813,0.000,,,,,
20.875,0.000,,,,,
20.875,0.000,,,,,
20.922,0.000,,,,,
20.922,0.000,,,,,
20.985,0.000,,,,,
21.031,0.000,,,,,
21.078,0.000,,,,,
21.078,0.000,,,,,
21.125,0.000,,,,,
21.141,0.000,,,,,
21.188,0.000,,,,,
21.235,0.000,,,,,
21.235,0.000,,,,,
21.297,0.000,,,,,
21.297,0.000,,,,,
21.344,0.000,,,,,
21.406,0.000,,,,,
21.453,0.000,,,,,
21.453,0.000,,,,,
21.500,0.000,,,,,
21.547,0.000,,,,,
21.563,0.000,,,,,
21.610,0.000,,,,,
21.610,0.000,,,,,
21.672,0.000,,,,,
21.672,0.000,,,,,
21.735,0.000,,,,,
21.781,0.000,,,,,
21.828,0.000,,,,,
21.828,0.000,,,,,
21.875,0.000,,,,,
21.891,0.000,,,,,
21.938,0.000,,,,,
21.938,0.000,,,,,
21.985,0.000,,,,,
22.000,0.000,,,,,
22.047,0.000,,,,,
22.094,0.000,,,,,
22.141,0.000,,,,,
22.141,0.000,,,,,
22.203,0.000,,,,,
22.250,0.000,,,,,
22.250,0.000,,,,,
22.313,0.000,,,,,
22.313,0.000,,,,,
22.360,0.000,,,,,
22.406,0.000,,,,,
22.406,0.000,,,,,
22.469,0.000,,,,,
22.469,0.000,,,,,
22.516,0.000,,,,,
22.563,0.000,,,,,
22.578,0.000,,,,,
22.625,0.000,,,,,
22.672,0.000,,,,,
22.672,0.000,,,,,
22.719,0.000,,,,,
22.781,0.000,,,,,
22.781,0.000,,,,,
22.828,0.000,,,,,
22.875,0.000,,,,,
22.891,0.000,,,,,
22.938,0.000,,,,,
22.938,0.000,,,,,
22.985,0.000,,,,,
23.047,0.000,,,,,
23.063,0.000,,,,,
23.110,0.000,,,,,
23.156,0.000,,,,,
23.156,0.000,,,,,
23.203,0.000,,,,,
23.219,0.000,,,,,
23.266,0.000,,,,,
23.313,0.000,,,,,
23.313,0.000,,,,,
23.360,0.000,,,,,
23.360,0.000,,,,,
23.422,0.000,,,,,
23.469,0.000,,,,,
23.485,0.000,,,,,
23.531,0.000,,,,,
23.594,0.000,,,,,
23.594,0.000,,,,,
23.641,0.000,,,,,
23.688,0.000,,,,,
23.703,0.000,,,,,
23.750,0.000,,,,,
23.750,0.000,,,,,
23.797,0.000,,,,,
23.860,0.000,,,,,
23.860,0.000,,,,,
23.922,0.000,,,,,
23.922,0.000,,,,,
23.969,0.000,,,,,
24.031,0.000,,,,,
24.031,0.000,,,,,
24.078,0.000,,,,,
24.125,0.000,,,,,
24.125,0.000,,,,,
24.172,0.000,,,,,
24.188,0.000,,,,,
24.235,0.000,,,,,
24.235,0.000,,,,,
24.297,0.000,,,,,
24.344,0.000,,,,,
24.344,0.000,,,,,
24.406,0.000,,,,,
24.453,0.000,,,,,
24.485,0.000,,,,,
24.500,0.000,,,,,
24.547,0.000,,,,,
24.547,0.000,,,,,
24.594,0.000,,,,,
24.594,0.000,,,,,
24.656,0.000,,,,,
24.656,0.000,,,,,
24.703,0.000,,,,,
24.766,0.000,,,,,
24.813,0.000,,,,,
24.828,0.000,,,,,
24.875,0.000,,,,,
24.938,0.000,,,,,
24.938,0.000,,,,,
24.985,0.000,,,,,
24.985,0.000,,,,,
25.031,0.000,,,,,
25.078,0.000,,,,,
25.094,0.000,,,,,
25.125,0.000,,,,,
25.141,0.000,,,,,
25.188,0.000,,,,,
25.235,0.000,,,,,
25.235,0.000,,,,,
25.281,0.000,,,,,
25.328,0.000,,,,,
25.344,0.000,,,,,
25.391,0.000,,,,,
25.438,0.000,,,,,
25.485,0.000,,,,,
25.547,0.000,,,,,
25.547,0.000,,,,,
25.594,0.000,,,,,
25.641,0.000,,,,,
25.688,0.000,,,,,
25.688,0.000,,,,,
25.750,0.000,,,,,
25.797,0.000,,,,,
25.797,0.000,,,,,
25.844,0.000,,,,,
25.860,0.000,,,,,
25.906,0.000,,,,,
25.953,0.000,,,,,
25.953,0.000,,,,,
26.000,0.000,,,,,
26.047,0.000,,,,,
26.047,0.000,,,,,
26.094,0.000,,,,,
26.156,0.000,,,,,
26.156,0.000,,,,,
26.203,0.000,,,,,
26.203,0.000,,,,,
26.266,0.000,,,,,
26.313,0.000,,,,,
26.313,0.000,,,,,
26.360,0.000,,,,,
26.406,0.000,,,,,
26.453,0.000,,,,,
26.453,0.000,,,,,
26.500,0.000,,,,,
26.547,0.000,,,,,
26.547,0.000,,,,,
26.594,0.000,,,,,
26.610,0.000,,,,,
26.641,0.000,,,,,
26.656,0.000,,,,,
26.703,0.000,,,,,
26.750,0.000,,,,,
26.750,0.000,,,,,
26.813,0.000,,,,,
26.813,0.000,,,,,
26.860,0.000,,,,,
26.906,0.000,,,,,
26.906,0.000,,,,,
26.953,0.000,,,,,
27.000,0.000,,,,,
27.016,0.000,,,,,
27.063,0.000,,,,,
27.078,0.000,,,,,
27.125,0.000,,,,,
27.125,0.000,,,,,
27.172,0.000,,,,,
27.188,0.000,,,,,
27.235,0.000,,,,,
27.281,0.000,,,,,
27.281,0.000,,,,,
27.328,0.000,,,,,
27.375,0.000,,,,,
27.438,0.000,,,,,
27.438,0.000,,,,,
27.485,0.000,,,,,
27.500,0.000,,,,,
27.547,0.000,,,,,
27.594,0.000,,,,,
27.656,0.000,,,,,
27.656,0.000,,,,,
27.703,0.000,,,,,
27.750,0.000,,,,,
27.750,0.000,,,,,
27.797,0.000,,,,,
27.797,0.000,,,,,
27.813,0.000,,,,,
27.844,0.000,,,,,
27.906,0.000,,,,,
27.906,0.000,,,,,
27.969,0.000,,,,,
27.969,0.000,,,,,
28.016,0.000,,,,,
28.078,0.000,,,,,
28.078,0.000,,,,,
28.125,0.000,,,,,
28.125,0.000,,,,,
28.172,0.000,,,,,
28.188,0.000,,,,,
28.235,0.000,,,,,
28.250,0.000,,,,,
28.297,0.000,,,,,
28.344,0.000,,,,,
28.391,0.000,,,,,
28.391,0.000,,,,,
28.453,0.000,,,,,
28.453,0.000,,,,,
28.500,0.000,,,,,
28.516,0.000,,,,,
28.563,0.000,,,,,
28.610,0.000,,,,,
28.610,0.000,,,,,
28.672,0.000,,,,,
28.688,0.000,,,,,
28.735,0.000,,,,,
28.735,0.000,,,,,
28.781,0.000,,,,,
28.797,0.000,,,,,
28.844,0.000,,,,,
28.844,0.000,,,,,
28.891,0.000,,,,,
28.938,0.000,,,,,
29.000,0.000,,,,,
29.000,0.000,,,,,
29.047,0.000,,,,,
29.094,0.000,,,,,
29.141,0.000,,,,,
