t,joint_name,side,angle_deg
1760969674.062,elbow_right,-,158.56005577858397
1760969674.062,hip_left,-,174.25648887876125
1760969674.062,hip_right,-,169.00697723801994
1760969674.093,elbow_right,-,157.2890397281449
1760969674.093,hip_left,-,173.09908014051763
1760969674.093,hip_right,-,168.80035995830508
1760969674.126,elbow_right,-,159.86764769642076
1760969674.126,hip_left,-,174.49106290790593
1760969674.126,hip_right,-,171.45164510635428
1760969674.157,elbow_right,-,161.500561813679
1760969674.157,hip_left,-,174.6542654515534
1760969674.157,hip_right,-,174.8179039285122
1760969674.190,elbow_right,-,163.58551853740593
1760969674.190,hip_left,-,173.68599076464994
1760969674.190,hip_right,-,176.63111006385728
1760969674.238,elbow_left,-,162.32299143251404
1760969674.238,elbow_right,-,163.64999560846826
1760969674.238,hip_left,-,174.1240019422827
1760969674.238,hip_right,-,176.87456611673792
1760969674.270,elbow_left,-,165.06247006716058
1760969674.270,elbow_right,-,167.35353621631742
1760969674.270,hip_left,-,172.06486399881342
1760969674.270,hip_right,-,176.69980427654917
1760969674.301,elbow_left,-,166.79734497023182
1760969674.301,elbow_right,-,168.18510252719452
1760969674.301,hip_left,-,170.1283266106653
1760969674.301,hip_right,-,177.59922283383247
1760969674.334,elbow_left,-,171.3837915567508
1760969674.334,elbow_right,-,168.31173361544663
1760969674.334,hip_right,-,174.8002763342194
1760969674.366,elbow_right,-,167.11017498052232
1760969674.366,hip_left,-,170.00703545976447
1760969674.366,hip_right,-,176.60234949386017
1760969674.397,elbow_left,-,170.41607857299834
1760969674.397,elbow_right,-,165.4261740465578
1760969674.397,hip_left,-,168.98876058535652
1760969674.397,hip_right,-,176.1562572040863
1760969674.431,elbow_left,-,166.79749449622224
1760969674.431,elbow_right,-,165.6896168782444
1760969674.431,hip_left,-,167.10628706106735
1760969674.431,hip_right,-,176.0041858378373
1760969674.461,elbow_left,-,166.39245489469747
1760969674.461,elbow_right,-,165.8432211905418
1760969674.461,hip_left,-,166.68314423329636
1760969674.461,hip_right,-,176.45823132776005
1760969674.493,elbow_left,-,162.64271531514413
1760969674.493,elbow_right,-,162.34588173989064
1760969674.493,hip_left,-,165.8810274767556
1760969674.493,hip_right,-,176.18581658521978
1760969674.526,elbow_left,-,158.36082977554835
1760969674.526,elbow_right,-,161.54651091820068
1760969674.526,hip_left,-,164.7348771832985
1760969674.526,hip_right,-,178.54182631867982
1760969674.558,elbow_left,-,156.71665758868292
1760969674.558,elbow_right,-,161.28053379069758
1760969674.558,hip_left,-,166.6822843191506
1760969674.558,hip_right,-,179.33470934294124
1760969674.606,elbow_right,-,160.3704633640656
1760969674.606,hip_left,-,167.3014484847405
1760969674.606,hip_right,-,178.59374774411265
1760969674.637,elbow_left,-,156.78803861081917
1760969674.637,elbow_right,-,158.69311006421447
1760969674.637,hip_left,-,168.0154897996953
1760969674.637,hip_right,-,179.0440698447682
1760969674.670,elbow_left,-,161.37500111022717
1760969674.670,elbow_right,-,156.27668733671376
1760969674.670,hip_left,-,168.76954382378776
1760969674.670,hip_right,-,179.80316809617923
1760969674.702,elbow_left,-,159.94561162765729
1760969674.702,elbow_right,-,153.46622788295295
1760969674.702,hip_left,-,169.22060718302546
1760969674.702,hip_right,-,178.8074461928412
1760969674.733,elbow_left,-,158.54550414478368
1760969674.733,elbow_right,-,152.2266281922961
1760969674.733,knee_left,-,178.83382807130647
1760969674.733,hip_left,-,170.3050885556226
1760969674.733,hip_right,-,179.13475461007374
1760969674.765,elbow_left,-,146.87245776242605
1760969674.765,elbow_right,-,149.5735544219381
1760969674.765,hip_left,-,168.9607778495831
1760969674.765,hip_right,-,179.7992310642709
1760969674.798,elbow_left,-,148.09124822653558
1760969674.798,elbow_right,-,151.01068964577536
1760969674.798,hip_left,-,168.99800834516896
1760969674.798,hip_right,-,179.7753156540062
1760969674.831,elbow_left,-,151.12315487214974
1760969674.831,elbow_right,-,150.73188919345546
1760969674.831,hip_left,-,168.1370291355818
1760969674.831,hip_right,-,179.7202351736744
1760969674.862,elbow_left,-,147.76509839532392
1760969674.862,elbow_right,-,154.372144812707
1760969674.862,hip_left,-,169.7698570975014
1760969674.862,hip_right,-,177.42975460994808
1760969674.893,elbow_left,-,151.6049252366161
1760969674.893,elbow_right,-,155.84427428697848
1760969674.893,hip_left,-,168.4606096421112
1760969674.893,hip_right,-,177.59824471089033
1760969674.926,elbow_left,-,154.91268005089688
1760969674.926,elbow_right,-,159.39774805324592
1760969674.926,hip_left,-,169.80468153134083
1760969674.926,hip_right,-,176.63768347323463
1760969674.974,elbow_left,-,158.1755492242179
1760969674.974,elbow_right,-,163.2487136754358
1760969674.974,hip_left,-,169.6374297048236
1760969674.974,hip_right,-,176.6108885208415
1760969675.006,elbow_left,-,162.71516365115576
1760969675.006,elbow_right,-,162.6052528164765
1760969675.006,hip_left,-,168.77743743319385
1760969675.006,hip_right,-,176.04244841115454
1760969675.038,elbow_left,-,165.69023863515994
1760969675.038,elbow_right,-,162.47195555080677
1760969675.038,hip_left,-,169.59343711095585
1760969675.070,elbow_left,-,171.55321920053535
1760969675.070,elbow_right,-,162.03536957497607
1760969675.070,hip_left,-,169.87000534316024
1760969675.070,hip_right,-,177.61377871170026
1760969675.102,elbow_left,-,173.1416748272118
1760969675.102,elbow_right,-,162.70828012991993
1760969675.102,hip_left,-,171.6750809186789
1760969675.102,hip_right,-,178.0197889229571
1760969675.134,elbow_left,-,172.0512945010281
1760969675.134,elbow_right,-,162.65613669632495
1760969675.134,hip_left,-,170.17432799785155
1760969675.134,hip_right,-,179.68286454464513
1760969675.166,elbow_left,-,169.21865355906277
1760969675.166,elbow_right,-,163.1454977166931
1760969675.166,knee_left,-,173.7931590097793
1760969675.166,hip_left,-,168.16448796975178
1760969675.166,neck_flex,-,61.91699838399006
1760969675.197,elbow_left,-,171.73770267235534
1760969675.197,elbow_right,-,165.12414858677838
1760969675.197,knee_left,-,173.87938725303277
1760969675.197,hip_left,-,169.3634393649187
1760969675.229,elbow_left,-,169.30987949306422
1760969675.229,elbow_right,-,164.49790105596935
1760969675.229,hip_left,-,170.18910797636468
1760969675.229,hip_right,-,174.27409024864642
1760969675.229,neck_flex,-,61.700724482567566
1760969675.263,elbow_left,-,172.5658126041791
1760969675.263,hip_left,-,170.06300437219124
1760969675.263,hip_right,-,172.69593432398855
1760969675.263,neck_flex,-,57.880057470465346
1760969675.294,elbow_left,-,174.83130612150205
1760969675.294,elbow_right,-,162.84359952457473
1760969675.294,hip_left,-,168.21656761968512
1760969675.294,hip_right,-,172.2819956729026
1760969675.294,neck_flex,-,58.39143397370061
1760969675.342,elbow_right,-,166.7464979157977
1760969675.342,knee_left,-,175.33939644088252
1760969675.342,hip_left,-,171.2328081527488
1760969675.342,hip_right,-,172.54938696191422
1760969675.342,neck_flex,-,63.6091079995981
1760969675.374,elbow_right,-,160.1014949088149
1760969675.374,neck_flex,-,64.8545100898314
1760969675.406,elbow_right,-,158.51098397545888
1760969675.406,knee_left,-,179.03125952662447
1760969675.406,knee_right,-,159.17173166408605
1760969675.406,hip_left,-,176.14506569379054
1760969675.406,hip_right,-,170.706119540899
1760969675.406,neck_flex,-,61.465354730940795
1760969675.437,elbow_right,-,159.11676652216633
1760969675.437,knee_left,-,179.39187112483003
1760969675.437,knee_right,-,160.2612786935661
1760969675.437,hip_left,-,176.7208122186683
1760969675.437,hip_right,-,172.07865483376213
1760969675.437,neck_flex,-,64.15455119214644
1760969675.469,elbow_right,-,158.5754115099167
1760969675.469,knee_left,-,179.67796639712645
1760969675.469,knee_right,-,161.80463331279856
1760969675.469,hip_left,-,177.42382139053674
1760969675.469,hip_right,-,170.7170162191663
1760969675.469,neck_flex,-,61.57107685400549
1760969675.502,neck_flex,-,58.49834290506997
1760969675.533,elbow_right,-,158.49627764986985
1760969675.533,knee_left,-,151.51205121936633
1760969675.533,knee_right,-,166.16364473355694
1760969675.533,hip_left,-,178.7633027634131
1760969675.533,hip_right,-,170.87279615832398
1760969675.533,neck_flex,-,55.91738798518909
1760969675.566,elbow_right,-,158.25728656811668
1760969675.566,hip_left,-,176.75278966875356
1760969675.566,hip_right,-,170.4149504755536
1760969675.566,neck_flex,-,54.11035658382633
1760969675.598,elbow_right,-,158.11158307842734
1760969675.598,knee_left,-,178.43677101251237
1760969675.598,knee_right,-,170.54266630174467
1760969675.598,hip_left,-,172.36156481259363
1760969675.598,hip_right,-,170.3468518972474
1760969675.598,neck_flex,-,54.47364327459543
1760969675.630,elbow_right,-,155.95081579798452
1760969675.630,knee_left,-,178.51562365343298
1760969675.630,knee_right,-,173.2939578493227
1760969675.630,hip_left,-,172.56927106524128
1760969675.630,hip_right,-,173.42227867917669
1760969675.630,neck_flex,-,54.3745258097521
1760969675.677,elbow_right,-,155.2594462172971
1760969675.677,knee_left,-,179.77971303862188
1760969675.677,knee_right,-,172.81132662025504
1760969675.677,hip_left,-,174.47309192518128
1760969675.677,hip_right,-,171.60894408197595
1760969675.677,neck_flex,-,51.5588275958917
1760969675.710,elbow_right,-,156.08928778743925
1760969675.710,knee_left,-,177.49672887138598
1760969675.710,knee_right,-,171.91509574673987
1760969675.710,hip_left,-,173.95661650821555
1760969675.710,hip_right,-,170.2515754314982
1760969675.710,neck_flex,-,55.37543982768373
1760969675.742,elbow_right,-,157.5376405782562
1760969675.742,knee_left,-,177.99601409215057
1760969675.742,knee_right,-,170.9519328761895
1760969675.742,hip_left,-,173.7521365444504
1760969675.742,hip_right,-,170.6246792973874
1760969675.742,neck_flex,-,57.316919632637685
1760969675.773,elbow_right,-,164.39556314469814
1760969675.773,knee_left,-,176.81211405296682
1760969675.773,knee_right,-,171.29461795881878
1760969675.773,hip_left,-,173.65007137265766
1760969675.773,hip_right,-,171.369738166427
1760969675.773,neck_flex,-,58.53213426854777
1760969675.805,elbow_right,-,164.74019621941306
1760969675.805,knee_left,-,176.80548853491572
1760969675.805,knee_right,-,172.0173357720483
1760969675.805,hip_left,-,175.5644257984285
1760969675.805,hip_right,-,172.57645710896477
1760969675.805,neck_flex,-,59.4898716329147
1760969675.837,elbow_right,-,166.10528813243886
1760969675.837,knee_left,-,173.4898824867454
1760969675.837,knee_right,-,171.07297634595702
1760969675.837,hip_left,-,173.88188610025637
1760969675.837,hip_right,-,174.33707601625167
1760969675.837,neck_flex,-,58.00253278494364
1760969675.870,elbow_right,-,164.67179646963697
1760969675.870,knee_left,-,172.8543009941793
1760969675.870,knee_right,-,169.76903028931326
1760969675.870,hip_left,-,174.2095192275902
1760969675.870,hip_right,-,175.43035295742703
1760969675.870,neck_flex,-,57.766590825182824
1760969675.901,elbow_right,-,163.27296194462502
1760969675.901,knee_left,-,169.79440303642698
1760969675.901,knee_right,-,169.45928168576444
1760969675.901,hip_left,-,171.8399003521727
1760969675.901,hip_right,-,175.42183074446564
1760969675.901,neck_flex,-,59.03334970948224
1760969675.934,elbow_right,-,164.31541223761602
1760969675.934,knee_left,-,168.49173903616514
1760969675.934,knee_right,-,170.2721695415526
