t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1761044756.993,0.000,,,,,
1761044757.024,0.000,,,,,
1761044757.057,0.000,,,,,
1761044757.088,0.000,,,,,
1761044757.121,0.000,,,,,
1761044757.152,0.000,,,,,
1761044757.200,0.000,,,,,
1761044757.232,0.000,,,,,
1761044757.264,0.000,,,,,
1761044757.297,0.000,,,,,
1761044757.328,0.000,,,,,
1761044757.360,0.000,,,,,
1761044757.392,0.000,,,,,
1761044757.424,0.000,,,,,
1761044757.456,0.000,,,,,
1761044757.490,0.000,,,,,
1761044757.521,0.000,,,,,
1761044757.568,0.000,,,,,
1761044757.600,0.000,,,,,
1761044757.632,0.000,,,,,
1761044757.664,0.000,,,,,
1761044757.697,0.000,,,,,
1761044757.730,0.000,,,,,
1761044757.760,0.000,,,,,
1761044757.792,0.000,,,,,
1761044757.825,0.000,,,,,
1761044757.856,0.000,,,,,
